date,forecast,forecast_lower,forecast_upper,category,type
2023-01-01,76338.64544409107,56279.67357084858,97570.98241218939,Total,Actual
2023-01-02,79318.51856089478,59180.92204922919,100132.33960137394,Total,Actual
2023-01-03,73482.63076326455,54502.48078238153,95553.13542914763,Total,Actual
2023-01-04,77926.17765461667,57856.53269940273,97457.09392959482,Total,Actual
2023-01-05,78145.55508065656,57933.74531356892,97903.46104745872,Total,Actual
2023-01-06,76067.05221176402,55701.678426274375,95564.68366056416,Total,Actual
2023-01-07,76218.47334408162,54881.97918780619,97079.26481514503,Total,Actual
2023-01-08,76353.1819336557,55200.26403099478,98079.82228238073,Total,Actual
2023-01-09,79333.62207033497,59834.198695951374,99822.55583899011,Total,Actual
2023-01-10,73496.62264610046,53675.523122139224,95260.96132447406,Total,Actual
2023-01-11,77941.01522558118,57649.813608904915,97712.36029941699,Total,Actual
2023-01-12,78160.43401024607,56952.884192141835,98644.52290614227,Total,Actual
2023-01-13,76081.53499288471,54905.923558475886,95903.19657634737,Total,Actual
2023-01-14,76232.9845531342,55873.03663853141,96731.03337672232,Total,Actual
2023-01-15,76367.71838728,57216.051966362254,97419.76611629169,Total,Actual
2023-01-16,79348.7255349819,59152.97111481641,99306.83786574093,Total,Actual
2023-01-17,73510.61448050488,54030.55879458058,93496.40273100784,Total,Actual
2023-01-18,77955.85275255429,57013.74251646629,97222.96815662007,Total,Actual
2023-01-19,78175.31288920014,58618.31948207074,98753.76452743418,Total,Actual
2023-01-20,76096.01771842672,56012.22943190775,97410.41586325639,Total,Actual
2023-01-21,76247.49570021826,55627.465754222125,96429.28676290665,Total,Actual
2023-01-22,76382.25477248082,55602.01530295941,98213.84686354962,Total,Actual
2023-01-23,79363.82892195582,59441.27763519915,100154.63560425884,Total,Actual
2023-01-24,73524.60623687183,53704.79388179981,94128.36482084019,Total,Actual
2023-01-25,77970.69018299006,58239.52034582421,99927.05137220521,Total,Actual
2023-01-26,78190.19168518145,58451.520459885905,97883.58535800572,Total,Actual
2023-01-27,76110.50037668103,56058.64835616217,97480.99731076905,Total,Actual
2023-01-28,76262.00677205458,55625.48818503056,96841.2612875186,Total,Actual
2023-01-29,76396.79107454176,55892.107277668685,96966.92154755695,Total,Actual
2023-01-30,79378.93221445201,59187.75287483442,98351.43274781332,Total,Actual
2023-01-31,73538.59789822435,54149.05397263786,95083.04450983717,Total,Actual
2023-02-01,77985.52750469149,58273.0343961644,98800.37728852249,Total,Actual
2023-02-02,78205.07035034458,57672.85807615865,98380.59094495735,Total,Actual
2023-02-03,76124.98288633965,54392.83607816154,95772.91428566273,Total,Actual
2023-02-04,76276.51771633312,57300.561298437795,97094.4480064515,Total,Actual
2023-02-05,76411.32727010321,56015.97976590288,96258.59675707862,Total,Actual
2023-02-06,79394.03541984138,59099.97850872157,99306.37679661372,Total,Actual
2023-02-07,73552.58950069823,54551.60216104152,93091.16777025421,Total,Actual
2023-02-08,78000.36478711657,58331.087718153496,95894.30354219113,Total,Actual
2023-02-09,78219.94899930187,57387.29993740994,96705.38393925896,Total,Actual
2023-02-10,76139.46540283387,56259.61019191676,94700.52101125717,Total,Actual
2023-02-11,76291.02866877864,56396.744764461706,94829.70438294194,Total,Actual
2023-02-12,76425.86347521895,56631.302714151425,95813.08232562363,Total,Actual
2023-02-13,79409.13863375326,59116.53809323865,99074.641945867,Total,Actual
2023-02-14,73566.58109235547,53795.852121264375,93760.93874216816,Total,Actual
2023-02-15,78015.20203818889,58376.674692476394,98727.58639675647,Total,Actual
2023-02-16,78234.8275969166,57175.846918254414,99537.35343955489,Total,Actual
2023-02-17,76153.94784997296,53806.99946258182,95697.78194507667,Total,Actual
2023-02-18,76305.53953232884,57395.100694020985,97164.43229525273,Total,Actual
2023-02-19,76440.39957184953,55273.49828972845,95881.34540964726,Total,Actual
2023-02-20,79424.24171614356,61148.89631935761,100854.16070454873,Total,Actual
2023-02-21,73580.57257956361,53049.135649321506,93344.43348904082,Total,Actual
2023-02-22,78030.03919698978,58312.95311029419,98325.67611168024,Total,Actual
2023-02-23,78249.7061257936,57545.401204089794,99003.67590113485,Total,Actual
2023-02-24,76168.43025336594,56594.3802564959,95567.43207709445,Total,Actual
2023-02-25,76320.0503752636,55971.47043846407,96242.56003401714,Total,Actual
2023-02-26,76454.93567104242,56766.48846374588,94183.09979473111,Total,Actual
2023-02-27,79439.3448253636,59084.57960649507,99509.90767898352,Total,Actual
2023-02-28,73594.5640966072,52648.59546180622,94293.21840411304,Total,Actual
2023-03-01,78044.87639269255,57377.48038536556,99227.7353522259,Total,Actual
2023-03-02,78264.58468637531,57789.244788792486,99203.31629623633,Total,Actual
2023-03-03,76182.91268247462,57842.60191844774,96636.79616493848,Total,Actual
2023-03-04,76334.56123824835,56282.46829300606,96094.78631447302,Total,Actual
2023-03-05,76469.4717846374,55378.52373537052,96204.98420194304,Total,Actual
2023-03-06,79454.44794360505,60772.65503380104,99718.6297950078,Total,Actual
2023-03-07,73608.55561648631,52557.761167493976,93171.89977790134,Total,Actual
2023-03-08,78059.71358555654,59003.0153116768,98912.10097578714,Total,Actual
2023-03-09,78279.46324358758,57806.657606010696,97940.21939905158,Total,Actual
2023-03-10,76197.39510772933,58260.020711169054,95826.91282928824,Total,Actual
2023-03-11,76349.07209792774,55762.13194171986,95720.47699105678,Total,Actual
2023-03-12,76484.00788390342,54527.96229336423,95804.94884234987,Total,Actual
2023-03-13,79469.55103550533,59569.34561654396,99758.85820826187,Total,Actual
2023-03-14,73622.54710137639,53014.45372902272,95618.83020838181,Total,Actual
2023-03-15,78074.55073008899,57925.32906697453,96867.28330651688,Total,Actual
2023-03-16,78294.34174101795,56064.35526009693,99480.69299402,Total,Actual
2023-03-17,76211.87746384485,55925.780444533826,96244.9634833608,Total,Actual
2023-03-18,76363.58287678183,56091.024395889195,96756.42692494366,Total,Actual
2023-03-19,76498.5439137608,57395.63736544869,95714.58602496072,Total,Actual
2023-03-20,79484.6540673214,59437.03963476727,100153.52585532513,Total,Actual
2023-03-21,73636.53853327908,52533.163961656355,94252.416268325,Total,Actual
2023-03-22,78089.38782124648,58225.4934727451,97965.97109104134,Total,Actual
2023-03-23,78309.22018779215,59633.45867901614,97749.42485521515,Total,Actual
2023-03-24,76226.35977343505,55886.516217069126,96245.35474828561,Total,Actual
2023-03-25,76378.09361179218,55558.87140079629,96863.48975834926,Total,Actual
2023-03-26,76513.07989091444,56820.41167631714,96526.2380261078,Total,Actual
2023-03-27,79499.75703524356,59235.58471476599,99145.0345266146,Total,Actual
2023-03-28,73650.52991443992,51751.41688361458,94488.26251886306,Total,Actual
2023-03-29,78104.22486758561,56491.27471844286,99401.58433816337,Total,Actual
2023-03-30,78324.09852271914,58704.041408626166,100184.14436312979,Total,Actual
2023-03-31,76240.8419089794,55983.62167110203,95487.57831474389,Total,Actual
2023-04-01,76392.60410718655,54844.578737752374,96622.32161852324,Total,Actual
2023-04-02,76527.61556265234,56201.417885532705,96544.59520573485,Total,Actual
2023-04-03,79514.85961792627,59685.614928263094,99425.44425204342,Total,Actual
2023-04-04,73664.52086734386,53414.61527984309,92771.08602057271,Total,Actual
2023-04-05,78119.06138408922,57661.10100905758,98503.40335173358,Total,Actual
2023-04-06,78338.97640221743,59606.946220339334,100341.49952008369,Total,Actual
2023-04-07,76255.32367817458,56420.9899001834,96126.67891727947,Total,Actual
2023-04-08,76407.11431251638,56495.15871566399,97698.78144677148,Total,Actual
2023-04-09,76542.15102100577,56239.51949238459,95721.00661731219,Total,Actual
2023-04-10,79529.96205907718,60172.92817961662,99593.18920786364,Total,Actual
2023-04-11,73678.51176342746,52859.50083882774,93426.12183520141,Total,Actual
2023-04-12,78133.89791910323,58115.65315387941,98313.73711702766,Total,Actual
2023-04-13,78353.8543033957,58095.64113030099,99101.61116534975,Total,Actual
2023-04-14,76269.80546541227,55836.45768841343,96725.36117638406,Total,Actual
